,domain,latency1,latency2,latency3,latency4
0,NG9YHD62WXOLSVWSJQXTZHG53H28T86YH0FKX1A03TLELEKKTN.tld1,5146.011114120483,0.44083595275878906,36.47804260253906,31.84199333190918
1,4XDV7VCT19W9342J7E7FA6OW8YX01ZZYQLE76DVL5CW6SKS7YE.tld1,138.98181915283203,0.3299713134765625,35.71510314941406,31.394004821777344
2,C0G60JBCM9XIEDOGEE3KI4170QHJBBRS5WO1S443I2BGTF8BKA.tld1,139.37997817993164,1.1749267578125,5038.089036941528,5038.345813751221
3,8ALUZ3TKT4CKEE8C0L9U1JXMQHBL6DW6AR732AP1DA10T0RHKT.tld1,139.1148567199707,0.3199577331542969,32.5169563293457,32.476186752319336
4,G7LBQGSAP3O2OMKMRM57AO9NALM4IMLIC3CS4SCZAG89FIN59G.tld1,138.24009895324707,0.2980232238769531,32.34100341796875,32.73820877075195
5,HBY4GK3JDR84PBIH3938BHBS4UTTUKOV90NAAITCH5DT5DJZ70.tld1,137.85314559936523,0.2980232238769531,32.33504295349121,32.63401985168457
6,QVRW1TI4534W35SAOV63P7GZVUGW134DXIRRMJKSEFJWJEYZBV.tld1,138.06796073913574,0.2989768981933594,32.303810119628906,32.2418212890625
7,Q1BMV41097FA2AIVIPCFO0JW2MT6D73DUW5UD57IYMANZ8SIF9.tld1,138.5791301727295,16.081809997558594,32.33695030212402,32.19199180603027
8,YAJWDBL6TYMPJQ77A5XCW1E7MWVBSZHJLSY8KZRIP6YMY8WXWX.tld1,137.91394233703613,32.09805488586426,32.3030948638916,32.19318389892578
9,A7FDRYQBRU0A5PMKQIW7ASK8NJP98TP2JOFXQSE84GIHOVCNF7.tld1,137.88485527038574,31.3870906829834,32.364845275878906,32.07707405090332
10,FBM3H4RSCFROXEEVUW843XS1FLCBFRXKHVF2E0D2HDG0QP9VFL.tld1,137.7730369567871,5037.867069244385,32.30595588684082,32.00697898864746
11,16YABSAIKO0GHOK8PRZVM3960GLPN42AUA96V5WXZF049CY3HW.tld1,138.31806182861328,32.50694274902344,32.92679786682129,32.06682205200195
12,APE650347NGRQQBFYZJR6M4CRO1G2QCQM19Z33RTXJIGO9B9F3.tld1,138.89789581298828,32.312870025634766,32.42802619934082,32.33695030212402
13,52UIX0R26LGLCXXP0C4OGLJGIDETT9URRZDDCHVBVZ2O42TB6Z.tld1,138.97204399108887,32.72294998168945,32.66286849975586,32.42301940917969
14,LH6ITJ485U4ELV5C090ZZA3P58KTXDKO3ELQBX2TKO0SGGFLYX.tld1,137.8030776977539,32.24492073059082,32.32312202453613,32.4559211730957
15,O437FOCXUQR9DT3R1A7FFG7UB7FQAHV2X22BR0RJ6IB34ZTK0C.tld1,137.91704177856445,32.095909118652344,31.892061233520508,32.42993354797363
16,6JXCUCAN4284XZ0545OU0RAYXBU045RNR4KJC63GUDT015C64N.tld1,137.99214363098145,32.5160026550293,31.852006912231445,32.10592269897461
17,43095RQG5C7TGIIY5KT898XIMVY0FLCCXUV3FIYAXQR2QQGJ3I.tld1,137.9389762878418,32.9289436340332,31.935930252075195,32.35507011413574
18,WRG1SI9YEAGAQPTDLDK5410ZFDFVUTVCSHTL5T5MMRV2S4LY5E.tld1,139.2068862915039,31.943798065185547,32.81092643737793,32.15503692626953
19,C6TWZ05DMNPKLVN2DFFLO4FVPWVKEXRLT5GHWECU6SR47CZ574.tld1,138.92292976379395,31.888961791992188,32.52911567687988,32.09400177001953
20,UVPA5QVKSLM0FUSNHI3HZVKNZ5HMIR0R892SS14MVBY7AFZ6MJ.tld1,138.8680934906006,32.30118751525879,32.160043716430664,32.193899154663086
21,T50E6U95RWVH16145RI4CWWO2GOCWM8LN08QOZLOUGLF3XNQ10.tld1,139.1308307647705,32.25088119506836,32.25278854370117,32.16099739074707
22,N9XJDFKYCQOSTTWBPB7H6LV7Y8SYQ4C9RZ36MNA1WOU4ADKU2X.tld1,138.0329132080078,32.2110652923584,32.03010559082031,32.238006591796875
23,8B39OAIV786GR5Q8DL3XC34QUZ9XA5ZZIVKAQF0APU18GUI75Y.tld1,137.9718780517578,32.280921936035156,32.257795333862305,32.39297866821289
24,OBZVQPSA1RN6TYRBIGX7G1M0S7NAZQ6V8HPNYAJF3RJNZCCWYP.tld1,138.32783699035645,32.247066497802734,32.20009803771973,32.21297264099121
25,3ERTS4K10TLRUQSVE6IYJW253N31OWYKVMN30W2LFSGZS198LA.tld1,138.1089687347412,32.37009048461914,32.283782958984375,32.36103057861328
26,2B3YX3HOJUAWEEOJTX9NO6QGNRKB5G6192QJWW3E1G7T3O8U78.tld1,138.46898078918457,32.34696388244629,32.1049690246582,32.5169563293457
27,Q02FLDXVFU08RJB7BKSEU9RW0MI7SD2VNBNA5BVGLVIADEBJLV.tld1,137.847900390625,32.29784965515137,32.3328971862793,32.44304656982422
28,4WWSP7Y86J3ZMEUYKC33IHNMQLD9JYL77QGWWBCM3JWFJOA1T1.tld1,138.45396041870117,32.38201141357422,32.36222267150879,32.42301940917969
29,JM15E21TTLEDGBO85JUN1I3OMFOC3VBXA37PGR2CZX1MVGLYH6.tld1,138.02599906921387,32.29403495788574,32.218217849731445,32.44495391845703
30,9DW0V9V32H8RX1BPJYTXYAFL52M1H3F432E043RUXT31V4RZTZ.tld1,137.93396949768066,32.40489959716797,32.36794471740723,32.49788284301758
